id,discovery_date,location,threat_target,hazard_type,triggering_factor,disaster_type,development_trend,lon,lat,elevation,aspect,disaster_scale,scale_grade,danger_grade,threatened_property,threatened_households,threatened_people,industry_transferred,industry,rain_3d,rain_7d,rain_30d,api,landuse,landuse_type,ndvi,ndwi,data_source,tpi,distance_to_river,label
2,2013-07-10,汶川县耿达镇龙潭村4组走马林,聚集区,滑坡,地震-降雨,滑坡,,103.29,31.1166666666667,1606.0,358.0,117500m3,中型,中型,600.0,58.0,227.0,否,,27.5332174301147,84.3136653900146,232.034501552582,58.7409815699345,10.0,Trees,0.761019662327464,-0.688754496637297,Landsat 7,-36.8281053952544,127.28,1
4,2008-05-12,汶川县耿达镇龙潭村1组龙潭村委会,聚集区,滑坡,地震-降雨,滑坡,,103.2925,31.1155555555556,1580.0,162.0,29900m3,小型,小型,200.0,10.0,41.0,否,,0.0,9.11534595489502,73.3814578056335,12.0101455138171,50.0,Built-up,0.412695116464195,-0.425311438772927,Landsat 7,-65.9347553325208,180.0,1
8,2011-07-24,汶川县耿达镇龙潭村1组贾学文后山,分散农户,滑坡,地震-降雨,滑坡,,103.291388888889,31.1138888888889,1570.0,191.0,23400m3,小型,小型,20.0,1.0,5.0,否,,0.0,12.2950859069824,215.065487384796,19.3196526500749,30.0,Grassland,0.338670476693352,-0.326658920037861,Landsat 7,-67.7440401505871,0.0,1
9,2011-01-01,汶川县耿达镇龙潭村1组山王庙聚居点对岸,河道,滑坡,地震-降雨,滑坡,,103.293888888889,31.1177777777778,1593.0,180.0,30300m3,小型,小型,50.0,0.0,0.0,是,水利（务）,0.0,0.0,6.48514461517334,1.15856258540111,80.0,Permanent water bodies,0.650309830849104,-0.60170071519009,Landsat 7,-81.5156838143295,0.0,1
12,2011-07-01,汶川县耿达镇龙潭村1组仓旺电站对面,河道,滑坡,地震-降雨,滑坡,,103.295277777778,31.1208333333333,1622.0,112.0,56900m3,小型,小型,20.0,0.0,0.0,是,水利（务）,27.5351028442383,27.5351028442383,130.236973762512,46.0199274434166,60.0,Bare / Sparse vegetation,0.456137525665284,-0.435372709835307,Landsat 7,-82.629861982459,90.0,1
13,2008-05-12,汶川县耿达镇龙潭村2组罗家坡,公路,滑坡,地震-降雨,滑坡,,103.2975,31.1233333333333,1643.0,180.0,22900m3,小型,小型,10.0,0.0,0.0,是,交通运输,0.0,9.11534595489502,73.3814578056335,12.0101455138171,10.0,Trees,0.356629874908021,-0.379861090321229,Landsat 7,-106.460476787982,90.0,1
14,2013-07-20,汶川县耿达镇龙潭村1组刘家房基聚居点,聚集区,滑坡,地震-降雨,滑坡,,103.296388888889,31.1233333333333,1675.0,292.0,50000m3,小型,小型,180.0,10.0,38.0,否,,0.0,60.689338684082,256.355581760406,50.5967693080239,10.0,Trees,0.854962250298601,-0.769741828579195,Landsat 7,-68.5746549561149,127.28,1
15,2008-05-12,汶川县耿达镇龙潭村1组油坊坡,分散农户,滑坡,地震-降雨,滑坡,,103.295,31.1194444444444,1606.0,256.0,34000m3,小型,小型,120.0,6.0,23.0,否,,0.0,9.11534595489502,73.3814578056335,12.0101455138171,30.0,Grassland,0.329283339751499,-0.355054757536672,Landsat 7,-91.8845671267508,0.0,1
17,2011-07-13,汶川县耿达镇龙潭村6组喇嘛地,公路,滑坡,地震-降雨,滑坡,,103.286388888889,31.1183333333333,1586.0,181.0,98100m3,小型,小型,20.0,0.0,0.0,是,交通运输,13.0602893829346,54.0037593841553,298.94212770462,62.650685154718,30.0,Grassland,0.267497839772868,-0.235292702293015,Landsat 7,-116.033877038919,0.0,1
19,2008-05-12,汶川县耿达镇龙潭村7组崔家河坝,聚集区,滑坡,地震-降雨,滑坡群,,103.28,31.1208333333333,1598.0,102.0,111500m3,中型,小型,140.0,5.0,24.0,否,,0.0,9.11534595489502,73.3814578056335,12.0101455138171,10.0,Trees,0.483698763799402,-0.497647614241295,Landsat 7,-114.538268506926,90.0,1
24,2008-05-12,汶川县耿达镇龙潭村7组龙潭大坝下游左岸,公路,滑坡,地震-降雨,滑坡,,103.265,31.1222222222222,1630.0,241.0,71600m3,小型,小型,50.0,0.0,0.0,是,交通运输,0.0,9.11534595489502,73.3814578056335,12.0101455138171,10.0,Trees,0.326808808109053,-0.331929824561404,Landsat 7,-169.404015056486,90.0,1
25,2008-05-12,汶川县耿达镇龙潭村7组龙潭电站大坝,公路,滑坡,地震-降雨,滑坡,,103.261388888889,31.1222222222222,1670.0,105.0,88000m3,小型,小型,30.0,0.0,0.0,是,交通运输,0.0,9.11534595489502,73.3814578056335,12.0101455138171,80.0,Permanent water bodies,0.149812176272981,-0.115692791881433,Landsat 7,-160.575909661256,90.0,1
28,2008-05-12,汶川县耿达镇龙潭村7组正河桥头下游左岸1#,公路,滑坡,地震-降雨,滑坡,,103.255,31.1225,1671.0,125.0,8000m3,小型,小型,10.0,0.0,0.0,是,交通运输,0.0,9.11534595489502,73.3814578056335,12.0101455138171,10.0,Trees,0.604248450943112,-0.580468676306109,Landsat 7,-112.909661229638,90.0,1
32,2008-05-12,汶川县耿达镇龙潭村7组蜂桶槽,分散农户,滑坡,地震-降雨,滑坡,,103.247777777778,31.1219444444444,1730.0,115.0,28000m3,小型,小型,80.0,4.0,19.0,否,,0.0,16.158848285675,94.6068110466003,16.9607366566668,10.0,Trees,0.783373063170441,-0.700226128654705,Landsat 7,-115.484316185725,180.0,1
33,2008-05-12,汶川县耿达镇龙潭村7组中桥下游右岸1号,河道,滑坡,地震-降雨,滑坡,,103.253055555556,31.0988888888889,1739.0,163.0,15000m3,小型,小型,0.0,0.0,0.0,是,水利（务）,0.0,0.0,40.737958908081,2.19041061216463,10.0,Trees,0.184785721103369,-0.241349653986159,Landsat 7,-152.003764115461,0.0,1
43,2008-05-12,汶川县耿达镇龙潭村7组中桥下游右岸6#,河道,滑坡,地震-降雨,滑坡,,103.254166666667,31.1105555555556,1798.0,170.0,7500m3,小型,小型,0.0,0.0,0.0,是,水利（务）,0.0,9.11534595489502,73.3814578056335,12.0101455138171,80.0,Permanent water bodies,0.5494791444489,-0.524865032786748,Landsat 7,-114.815558343819,0.0,1
78,2008-05-12,汶川县耿达镇幸福村2组张家沟,聚集区,滑坡,地震-降雨,滑坡,,103.315555555556,31.095,1660.0,144.0,192000m3,中型,中型,700.0,35.0,120.0,否,,0.0,15.2150478363037,81.4182205200195,15.8117654481224,10.0,Trees,0.762847382788609,-0.709685119680563,Landsat 7,-41.6160602258723,180.0,1
