排名,模型名称,准确率,精确率,召回率,F1值,特异性,AUC-ROC,AUC-PR,最优阈值
1,stacking,0.9023015500234852,0.8814616755793226,0.9295112781954887,0.9048490393412626,0.8751173708920188,0.9656385682516149,0.9607893478819628,
2,ensemble_avg,0.8976045091592297,0.8621575342465754,0.9464285714285714,0.9023297491039427,0.8488262910798122,0.955282572628755,0.9419645717975041,
3,voting,0.8976045091592297,0.8621575342465754,0.9464285714285714,0.9023297491039427,0.8488262910798122,0.955282572628755,0.9419645717975041,
4,xgboost,0.8999530295913575,0.8823000898472596,0.9229323308270677,0.9021589343132751,0.8769953051643192,0.9643977902502735,0.9592371893962556,0.5772727272727273
5,blending,0.896195396899953,0.8707124010554089,0.9304511278195489,0.8995910949568378,0.8619718309859155,0.9513881534822973,0.9377051367660595,
6,lightgbm,0.8914983560356975,0.8940397350993378,0.8881578947368421,0.8910891089108911,0.8948356807511737,0.9634782378481415,0.9585127640709455,0.6136363636363636
7,random_forest,0.8806951620479098,0.8603202846975089,0.9088345864661654,0.8839122486288848,0.8525821596244132,0.9489829326838222,0.939399847018774,0.4954545454545454
8,catboost,0.8694222639736966,0.9102296450939458,0.8195488721804511,0.8625123639960435,0.9192488262910798,0.9615367644463273,0.9549233892232949,0.7045454545454546
9,gboost,0.8675434476279944,0.9006147540983607,0.8261278195488722,0.861764705882353,0.9089201877934272,0.9592405309047267,0.9521815392906807,0.6590909090909091
10,decision_tree,0.8168154062940347,0.8510416666666667,0.7678571428571429,0.8073122529644269,0.8657276995305164,0.9242335592502382,0.9113472146964976,0.6136363636363636
11,knn,0.7773602630342884,0.8165236051502146,0.7152255639097744,0.7625250501002004,0.8394366197183099,0.8751067810370998,0.8401835277623275,0.5954545454545455
12,logistic_regression,0.7153593236261155,0.740546218487395,0.6625939849624061,0.6994047619047619,0.7680751173708921,0.7917557979455683,0.7661490401462003,0.5227272727272727
13,svm,0.6580554250821982,0.6578947368421053,0.6578947368421053,0.6578947368421053,0.6582159624413145,0.7221689787849906,0.6985060989654439,0.5045454545454545
